England's Prison population (https://commonslibrary.parliament.uk/research-briefings/sn04334/),,
Year,Total,Per100000
1900,"17,435",86
1901,"18,980",
1902,"19,437",
1903,"20,795",
1904,"21,428",
1905,"21,525",
1906,"21,074",
1907,"20,926",
1908,"22,146",
1909,"22,018",
1910,"20,904",
1911,"19,797",79
1912,"19,442",
1913,"18,236",
1914,"15,808",
1915,"11,311",
1916,"10,058",
1917,"9,660",
1918,"9,199",
1919,"9,683",
1920,"11,000",
1921,"12,179",44
1922,"11,766",
1923,"11,148",
1924,"10,750",
1925,"10,509",
1926,"10,860",
1927,"11,179",
1928,"11,109",
1929,"10,861",
1930,"11,346",
1931,"11,676",38
1932,"12,803",
1933,"12,986",
1934,"12,238",
1935,"11,306",
1936,"10,613",
1937,"10,562",
1938,"11,086",
1939,"10,326",
1940,"9,377",
1941,"10,635",33
1942,"12,400",
1943,"12,790",
1944,"12,915",
1945,"14,708",
1946,"15,789",
1947,"17,067",
1948,"19,765",
1949,"19,879",
1950,"20,474",
1951,"21,780",64
1952,"23,680",
1953,"23,610",
1954,"22,421",
1955,"21,134",
1956,"20,807",
1957,"22,602",
1958,"25,379",
1959,"26,623",
1960,"27,099",
1961,"29,025",82
1962,"31,063",
1963,"30,896",
1964,"29,600",
1965,"30,421",
1966,"33,086",
1967,"35,009",
1968,"32,461",
1969,"34,667",
1970,"39,028",
1971,"39,708",107
1972,"38,328",
1973,"36,774",
1974,"36,867",
1975,"39,820",
1976,"41,443",
1977,"41,570",
1978,"41,796",
1979,"42,220",
1980,"42,264",
1981,"43,311",112
1982,"43,707",
1983,"43,462",
1984,"43,295",
1985,"46,233",
1986,"46,770",
1987,"48,426",
1988,"48,872",
1989,"48,500",
1990,"44,975",
1991,"44,809",112
1992,"44,719",
1993,"44,552",
1994,"48,621",
1995,"50,962",
1996,"55,281",
1997,"61,114",
1998,"65,298",
1999,"64,771",
2000,"64,602",
2001,"66,301",160
2002,"70,778",
2003,"73,038",
2004,"74,657",
2005,"75,979",
2006,"78,127",
2007,"80,216",
2008,"82,572",
2009,"83,559",
2010,"84,725",
2011,"85,951",189
2012,"86,634",
2013,"84,249",
2014,"85,307",
2015,"85,626",
2016,"85,348",
2017,"85,668",
2018,"83,295",
2019,"82,935",
2020,"80,366",166